Z,A,E,Theta,omega,cross_section,E_omega,cos_Theta,E_ela,E_inela
2,4,0.15,145.0,0.055,602.0,0.051845833262236254,-0.8191520442889917,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.065,393.75,0.04638837712936928,-0.8191520442889917,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.075,268.75,0.040930920996502314,-0.8191520442889917,0.033759053022731585,0.2956886535448431
2,4,0.15,145.0,0.085,168.925,0.03547346486363533,-0.8191520442889917,0.033759053022731585,0.2956886535448431
2,4,0.2,60.0,0.025,2542.5,0.03500000000000001,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.035,9197.5,0.033,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.045,7345.0,0.031,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.055,4485.0,0.028999999999999998,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.065,3002.5,0.027000000000000003,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.075,2022.0,0.025,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,60.0,0.085,1457.75,0.023,0.5000000000000001,0.01923872370306954,0.3247252806448821
2,4,0.2,75.0,0.025,659.5,0.05188266684282356,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.035,3615.0,0.048917943023233636,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.045,3490.0,0.045953219203643716,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.055,2687.5,0.042988495384053804,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.065,1854.0,0.040023771564463885,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.075,1246.25,0.03705904774487397,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.085,831.25,0.03409432392528405,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.095,660.5,0.031129600105694134,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.105,540.25,0.028164876286104222,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.115,469.0,0.025200152466514303,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.125,512.25,0.02223542864692439,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,75.0,0.135,503.25,0.019270704827334468,0.2588190451025208,0.027254154684672134,0.31919463326757624
2,4,0.2,90.0,0.025,215.15,0.07000000000000002,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.035,1519.0,0.066,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.045,1975.5,0.06200000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.055,1741.25,0.058,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.065,1297.0,0.05400000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.075,891.25,0.05000000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.085,591.75,0.046000000000000006,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.095,450.75,0.04200000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.105,333.0,0.03800000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.115,267.25,0.03400000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.125,281.25,0.030000000000000013,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.135,259.75,0.026000000000000006,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,145.0,0.03,4.7025,0.12370233901165147,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.2,145.0,0.04,188.95,0.11642573083449546,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.2,145.0,0.05,398.75,0.10914912265733953,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.2,145.0,0.06,434.75,0.10187251448018354,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.2,145.0,0.07,430.75,0.09459590630302757,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.2,145.0,0.08,352.0,0.08731929812587162,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.2,145.0,0.09,270.0,0.08004268994871566,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.2,145.0,0.1,184.775,0.07276608177155969,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.2,145.0,0.11,124.35,0.06548947359440371,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.2,145.0,0.12,100.075,0.05821286541724775,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.2,145.0,0.13,77.4,0.05093625724009178,-0.8191520442889917,0.055827880118072375,0.2994787627185301
2,4,0.25,34.0,0.025,23522.5,0.019233273087557803,0.8290375725550417,0.010877569315322752,0.3341710956010064
