Z,A,E,Theta,omega,E_omega,cos_Theta,E_ela,E_inela
2,4,0.2,75.0,0.135,0.019270704827334468,0.25881904510252074,0.027254154684672134,0.31919463326757624
2,4,0.2,90.0,0.025,0.07000000000000002,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.035,0.066,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.045,0.06200000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.055,0.058,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.065,0.05400000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.075,0.05000000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.085,0.046000000000000006,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.095,0.04200000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.105,0.03800000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.115,0.03400000000000001,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.125,0.030000000000000013,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,90.0,0.135,0.026000000000000006,6.123233995736766e-17,0.03510095913370833,0.31378033819774126
2,4,0.2,145.0,0.03,0.12370233901165145,-0.8191520442889916,0.05582788011807236,0.2994787627185301
2,4,0.2,145.0,0.04,0.11642573083449546,-0.8191520442889916,0.05582788011807236,0.2994787627185301
2,4,0.2,145.0,0.05,0.10914912265733952,-0.8191520442889916,0.05582788011807236,0.2994787627185301
2,4,0.2,145.0,0.06,0.10187251448018354,-0.8191520442889916,0.05582788011807236,0.2994787627185301
2,4,0.2,145.0,0.07,0.09459590630302757,-0.8191520442889916,0.05582788011807236,0.2994787627185301
2,4,0.2,145.0,0.08,0.08731929812587161,-0.8191520442889916,0.05582788011807236,0.2994787627185301
2,4,0.2,145.0,0.09,0.08004268994871565,-0.8191520442889916,0.05582788011807236,0.2994787627185301
