Z,A,E,Theta,omega,E_omega,cos_Theta,E_ela,E_inela
20,40,0.16,140.0,0.0125,0.08335729771521577,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0175,0.08053162660622541,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0225,0.07770595549723504,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0275,0.07488028438824466,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0325,0.0720546132792543,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0375,0.06922894217026393,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0425,0.06640327106127358,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0475,0.06357759995228321,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0525,0.06075192884329285,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0575,0.05792625773430249,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0625,0.055100586625312115,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0675,0.05227491551632175,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0725,0.04944924440733139,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0775,0.04662357329834103,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0033,0.08855653255575803,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0083,0.08573086144676767,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0207,0.07872319709647158,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0258,0.0758410125653014,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0308,0.07301534145631103,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0359,0.07013315692514085,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0409999999999999,0.06725097239397074,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0464,0.0641992475962611,-0.7660444431189779,0.03699317968553269,0.2968450875998449
20,40,0.16,140.0,0.0521,0.06097798253201207,-0.7660444431189779,0.03699317968553269,0.2968450875998449
