cross_section_norm,cross_section_denorm
0.53213346,3486.9517
0.29522413,2467.0742
0.073318146,1511.785
-0.05877109,943.15045
-0.2208225,245.5309
-0.2883628,-45.22526
-0.2309346,201.99904
-0.22933023,208.90572
-0.22513926,226.94753
-0.21988803,249.55373
-0.21424739,273.83627
-0.20648873,307.23672
-0.18454164,401.71738
-0.14227438,583.6748
-0.10386818,749.01074
-0.22673093,220.09554
-0.22417347,231.10518
-0.22225532,239.36269
-0.21943879,251.48763
-0.20927893,295.22513
-0.20596665,309.48422
-0.20206547,326.27853
-0.20413145,317.3846
-0.21006683,291.83328
-0.21634859,264.79074
